Service,Number of Peer
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_NETWORK']",6814
['NODE_WITNESS'],1
"['NODE_WITNESS', 'NODE_BLOOM', 'NODE_NETWORK']",2364
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_BLOOM']",490
"['NODE_BLOOM', 'NODE_NETWORK']",239
"['NODE_WITNESS', 'NODE_BLOOM']",91
['NODE_NETWORK'],83
"['NODE_XTHIN', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK', 'OTHER']",80
"['NODE_WITNESS', 'NODE_NETWORK']",28
"['NODE_XTHIN', 'NODE_BLOOM', 'NODE_NETWORK']",19
['NODE_BLOOM'],10
"['NODE_XTHIN', 'NODE_BLOOM']",11
"['NODE_NETWORK_LIMITED', 'NODE_XTHIN', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK', 'OTHER']",6
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_NETWORK']",24
"['NODE_XTHIN', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK']",2
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS']",2
