Service,Number of Peer
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_NETWORK']",6847
['NODE_WITNESS'],1
"['NODE_WITNESS', 'NODE_BLOOM', 'NODE_NETWORK']",2375
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_BLOOM']",482
"['NODE_BLOOM', 'NODE_NETWORK']",240
"['NODE_WITNESS', 'NODE_BLOOM']",91
['NODE_NETWORK'],84
"['NODE_XTHIN', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK', 'OTHER']",81
"['NODE_WITNESS', 'NODE_NETWORK']",28
"['NODE_XTHIN', 'NODE_BLOOM', 'NODE_NETWORK']",17
['NODE_BLOOM'],11
"['NODE_XTHIN', 'NODE_BLOOM']",11
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS', 'NODE_NETWORK']",24
"['NODE_NETWORK_LIMITED', 'NODE_XTHIN', 'NODE_WITNESS', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK', 'OTHER']",6
"['NODE_XTHIN', 'NODE_BLOOM', 'NODE_GETUTXO', 'NODE_NETWORK']",2
"['NODE_NETWORK_LIMITED', 'NODE_WITNESS']",2
